#Date,EPE,ENE
2032-03-30,111802309.0652,111958494.1684
2032-04-09,111874495.4896,112030680.5928
2032-04-23,112058229.9413,112214415.0445
2032-05-07,116628163.3113,80642278.7785
2032-05-21,116707168.1442,80721283.6114
2032-06-04,116755979.4508,80770094.9180
2032-06-21,116874352.8548,80888468.3220
2032-07-02,116965820.7208,80979936.1881
2032-07-16,117044477.7705,81058593.2377
2032-07-30,117154744.4025,81168859.8698
2032-08-13,117271961.6179,81286077.0851
2032-08-27,117425659.4255,81439774.8927
2032-09-10,117467365.4063,81481480.8735
2032-09-24,117596159.5945,81610275.0617
2032-10-08,117627454.7970,81641570.2643
2032-10-22,117709688.3735,81723803.8407
2032-11-05,85028470.7118,84704357.2413
2032-11-19,85062802.4116,84738688.9411
2032-12-03,85140955.1797,84816841.7092
2032-12-17,85222767.6494,84898654.1789
2033-01-04,85243885.7686,84919772.2981
2033-01-14,85302759.7677,84978646.2972
2033-01-28,85322146.8613,84998033.3907
2033-02-11,85415497.5003,85091384.0298
2033-02-25,85463398.0421,85139284.5716
2033-03-11,85487842.1615,85163728.6910
2033-03-25,85538650.1542,85214536.6837
2033-04-08,85611965.2117,85287851.7412
2033-04-22,85676799.7742,85352686.3037
2033-05-06,90173162.6885,54723317.7761
2033-05-20,90218105.3841,54768260.4717
2033-06-03,90273583.9353,54823739.0229
2033-06-17,90299220.7359,54849375.8235
2033-07-01,90357219.1390,54907374.2266
2033-07-15,90353831.7620,54903986.8496
2033-07-29,90368363.5585,54918518.6461
2033-08-12,90407044.3512,54957199.4388
2033-08-26,90454091.8066,55004246.8942
2033-09-09,90488574.0122,55038729.0998
2033-09-23,90533294.7936,55083449.8812
2033-10-07,90568106.7344,55118261.8220
2033-10-21,90577216.9591,55127372.0467
2033-11-04,57597902.4287,57230322.2561
2033-11-18,57619647.0270,57252066.8544
2033-12-02,57620591.0957,57253010.9231
2033-12-16,57622074.6409,57254494.4683
2033-12-30,57673626.4067,57306046.2341
2034-01-13,57699917.5920,57332337.4194
2034-01-27,57731638.3050,57364058.1324
2034-02-10,57765782.4408,57398202.2682
2034-02-24,57811672.3677,57444092.1951
2034-03-10,57815799.6551,57448219.4825
2034-03-24,57852907.4586,57485327.2859
2034-04-11,57880801.8764,57513221.7037
2034-04-21,57899247.4658,57531667.2932
2034-05-05,62881658.9366,28229873.5594
2034-05-19,62903597.4347,28251812.0574
2034-06-02,62911285.7002,28259500.3230
2034-06-16,62900809.1642,28249023.7870
2034-06-30,62905186.2659,28253400.8887
2034-07-14,62927043.9366,28275258.5594
2034-07-28,62958877.9803,28307092.6031
2034-08-11,62959622.7093,28307837.3320
2034-08-25,62970305.5788,28318520.2016
2034-09-08,62958908.0356,28307122.6584
2034-09-22,63004575.5282,28352790.1510
2034-10-06,63012587.3715,28360801.9943
2034-10-20,63020648.9828,28368863.6056
2034-11-03,29128957.4732,28990953.9854
2034-11-17,29117517.4688,28979513.9810
2034-12-01,29133067.3786,28995063.8908
2034-12-15,29116599.2263,28978595.7385
2034-12-29,29112525.6197,28974522.1319
2035-01-12,29123766.2793,28985762.7915
2035-01-26,29132968.4443,28994964.9565
2035-02-09,29136955.9025,28998952.4147
2035-02-23,29122278.0398,28984274.5520
2035-03-09,29129390.2035,28991386.7157
2035-03-27,29132436.4351,28994432.9473
2035-04-06,29128319.1426,28990315.6548
2035-04-20,29134122.7884,28996119.3006
2035-05-04,37328088.9778,3571904.9673
2035-05-18,37315244.3945,3559060.3841
2035-06-01,37301293.7326,3545109.7221
2035-06-15,37292774.3595,3536590.3491
2035-06-29,37281255.1599,3525071.1495
2035-07-13,37273632.0106,3517448.0001
2035-07-27,37261227.4554,3505043.4450
2035-08-10,37247722.2909,3491538.2804
2035-08-24,37243483.0046,3487298.9941
2035-09-07,37225438.9037,3469254.8933
2035-09-21,37221230.8486,3465046.8381
2035-10-05,37207161.4868,3450977.4764
2035-10-19,37195578.8854,3439394.8749
2035-11-02,0.0000,0.0000
2035-11-16,0.0000,0.0000
2035-11-30,0.0000,0.0000
2035-12-14,0.0000,0.0000
2035-12-28,0.0000,0.0000
2036-01-11,0.0000,0.0000
2036-01-25,0.0000,0.0000
2036-02-08,0.0000,0.0000
2036-02-22,0.0000,0.0000
2036-03-07,0.0000,0.0000
2036-03-21,0.0000,0.0000
2036-04-04,0.0000,0.0000
2036-04-18,0.0000,0.0000
2036-05-02,0.0000,0.0000
